Model,Best params,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,{},0.8325643516270034,0.3632504548211037,0.6454741379310345,0.46488164532402015,0.7977338397457675
KNN,{},0.8927877610490529,0.5456389452332657,0.28987068965517243,0.378606615059817,0.7380085357567522
Decision Tree,{},0.8459203496843127,0.38760711931443637,0.6336206896551724,0.48098159509202454,0.7924567196081761
