Model,Best_params,Val_F1,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,{},0.5106,0.8854,0.493,0.6056,0.5435,0.8051
Gradient Boosting,{},0.476,0.8905,0.5136,0.528,0.5207,0.8038
Decision Tree,{},0.4766,0.874,0.4541,0.5862,0.5118,0.7918
Logistic Regression,{},0.439,0.8242,0.3516,0.6638,0.4597,0.7979
KNN,{},0.403,0.8179,0.3273,0.5841,0.4195,0.7475
