Model,Best_params,Val_F1,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,{},0.4985,0.8861,0.4954,0.5841,0.5361,0.8047
Decision Tree,{},0.4851,0.8803,0.474,0.569,0.5171,0.7914
Gradient Boosting,{},0.4742,0.8917,0.5201,0.5022,0.511,0.8065
Logistic Regression,{},0.4349,0.8215,0.3483,0.6703,0.4584,0.7998
KNN,{},0.4033,0.8193,0.3321,0.597,0.4268,0.7522
